BRANDS,CATEGORY_TAGS,CITY,ENCLOSED,INCLUDES_PARKING_LOT,LATITUDE,LOCATION_NAME,LONGITUDE,MEDIAN_DWELL,NAICS_CODE,NORMALIZED_VISITS_BY_TOTAL_VISITORS,NORMALIZED_VISITS_BY_TOTAL_VISITS,POSTAL_CODE,RAW_VISITOR_COUNTS,RAW_VISIT_COUNTS,REGION,STREET_ADDRESS,SUB_CATEGORY,TOP_CATEGORY,dwell_5_20,dwell_lt5,dwell_61_240,dwell_gt240,dwell_21_60,dwell_total_obs,peak_hour,evening_share,avg_daily_visits,max_daily_visits,std_daily_visits,dwell_lt5_share,dwell_5_20_share,dwell_21_60_share,dwell_61_240_share,dwell_gt240_share,fast_food_behavior_score,visit_volume_score,stability_score,zip_restaurant_count,competition_score,fast_food_behavior_score_norm
,"Asian Food,Salad,Seafood,Vietnamese Food",Boston,False,False,42.299857,Huong Que,-71.058404,48.0,722511,5.960541217e-06,4.17517184e-07,2122.0,1.0,1.0,MA,272 Adams St,Full-Service Restaurants,Restaurants and Other Eating Places,0,0,0,0,0,,15,0.0,0.03225806451612903,1.0,0.17668469596940847,,,,,,0.0,0.0,1.0,9,0.9012345679012346,0.0
,Sandwich Shop,Boston,False,False,42.376386,Puxadinho,-71.065349,12.0,722511,0.001499872452,0.0001040194075,2129.0,138.0,255.0,MA,202 Main St,Full-Service Restaurants,Restaurants and Other Eating Places,13,184,26,20,10,253.0,18,0.3009478672985782,8.161290322580646,15.0,2.0493393773249795,0.7272727272727273,0.05138339920948617,0.039525691699604744,0.10276679841897234,0.07905138339920949,0.4569169960474308,0.006003450802429743,0.991437202986302,8,0.9135802469135803,0.761528326745718
,Chinese Food,Boston,False,False,42.34996,Bos Sichuan Taste,-71.130476,37.0,722511,0.001224529002,8.446790014e-05,2134.0,145.0,209.0,MA,204 Harvard Ave,Full-Service Restaurants,Restaurants and Other Eating Places,6,163,10,19,8,206.0,18,0.3039832285115304,6.741935483870968,14.0,1.8659554663199445,0.7912621359223301,0.02912621359223301,0.038834951456310676,0.04854368932038835,0.09223300970873786,0.4864077669902912,0.0049162116807298685,0.9922757340946521,23,0.7283950617283951,0.8106796116504854
,Seafood,Boston,True,False,42.360112,Boathouse 400,-71.118136,37.0,722511,0.008127721065,0.0005606754176,2134.0,928.0,1383.0,MA,400 Soldiers Field Rd,Full-Service Restaurants,Restaurants and Other Eating Places,30,1200,35,92,23,1380.0,17,0.272108843537415,44.483870967741936,75.0,11.074151734038683,0.8695652173913043,0.021739130434782608,0.016666666666666666,0.025362318840579712,0.06666666666666667,0.5304347826086956,0.03266444491715711,0.9501708461578697,23,0.7283950617283951,0.8840579710144927
,Cafe,Boston,True,False,42.349251,Newsfeed Cafe,-71.079076,35.0,722513,0.0009256273585,6.44526529e-05,2116.0,83.0,158.0,MA,700 Boylston St,Limited-Service Restaurants,Restaurants and Other Eating Places,25,66,25,11,28,155.0,15,0.05829596412556054,5.032258064516129,7.0,1.0920200567619842,0.4258064516129032,0.16129032258064516,0.18064516129032257,0.16129032258064516,0.07096774193548387,0.31999999999999995,0.0037107943936278334,0.9958145882570014,81,0.012345679012345734,0.5333333333333333
,"Salad,Sandwich Shop",Boston,False,False,42.345873,Cafe24,-71.090058,3.0,722513,0.0008841993639,6.025484818e-05,2215.0,103.0,154.0,MA,24 Fenway,Limited-Service Restaurants,Restaurants and Other Eating Places,22,125,5,0,0,152.0,10,0.24782608695652175,4.67741935483871,9.0,3.4302929130473405,0.8223684210526315,0.14473684210526316,0.0,0.03289473684210526,0.0,0.5513157894736841,0.003616251861306105,0.9851227313811156,74,0.09876543209876543,0.9188596491228068
,"Hawaiian Food,Sushi",Boston,False,False,42.342127,Super Sushi & Poke,-71.084885,187.0,722513,0.009886476171,0.0006835276199,2115.0,665.0,1692.0,MA,250 Huntington Ave,Limited-Service Restaurants,Restaurants and Other Eating Places,175,816,163,485,51,1690.0,13,0.24427977119084762,54.096774193548384,75.0,11.73457763086588,0.48284023668639053,0.10355029585798817,0.03017751479289941,0.09644970414201183,0.2869822485207101,0.33112426035502956,0.03996785553901061,0.9471510193027514,75,0.0864197530864198,0.5518737672583827
,"American Food,Bar or Pub,Late Night,Smoothie & Juice Bar",Boston,False,False,42.349156,Crazy Good Kitchen Newbury,-71.083289,22.0,722511,0.001391127077,9.770505283e-05,2116.0,235.0,235.0,MA,268 Newbury St,Full-Service Restaurants,Restaurants and Other Eating Places,0,176,0,0,58,234.0,19,0.47761194029850745,7.483870967741935,14.0,5.217037645043621,0.7521367521367521,0.0,0.24786324786324787,0.0,0.0,0.45128205128205123,0.005530738140821102,0.9769527614407401,81,0.012345679012345734,0.7521367521367521
,Mexican Food,Boston,True,False,42.338593,Beantown Burrito,-71.107217,32.0,722511,0.01076632801,0.0007479816442,2215.0,935.0,1862.0,MA,340-350 Longwood Avenue Longwood,Full-Service Restaurants,Restaurants and Other Eating Places,155,1137,140,338,89,1859.0,10,0.2656759695541863,58.483870967741936,105.0,26.028360422929666,0.6116191500806886,0.08337816030123722,0.047875201721355565,0.07530930607853685,0.18181818181818182,0.400322754168908,0.04398591316268406,0.8817920602672643,74,0.09876543209876543,0.6672045902815134
,"Dessert,Italian Food,Salad",Boston,False,False,42.364767,Prezza,-71.052688,107.0,722513,0.001079894802,7.505831164e-05,2113.0,99.0,184.0,MA,24 Fleet St,Limited-Service Restaurants,Restaurants and Other Eating Places,5,123,32,18,3,181.0,18,0.33657587548638135,5.903225806451613,8.0,1.0272053760058488,0.6795580110497238,0.027624309392265192,0.016574585635359115,0.17679558011049723,0.09944751381215469,0.41878453038674035,0.0043253208537190665,0.9961109562742061,40,0.5185185185185186,0.697974217311234
